,dataset,join,operator,time_baseline,time_amalur,complexity_baseline,complexity_amalur,TR,FR
196,walmart,left,LMM,0.023375940322875977,0.02989358901977539,10349543500.0,10353192600.0,176.75890985324946,2440.0
197,walmart,left,RMM,0.006046525637308757,0.04534693559010824,14466317990.0,1146086115.0,176.75890985324946,2440.0
198,walmart,left,Left multiply T,0.007117342948913574,0.000427556037902832,5901980.0,445105.0,176.75890985324946,2440.0
199,walmart,left,Row summation T,0.01888399918874105,0.01038518746693929,5901980.0,445105.0,176.75890985324946,2440.0
200,walmart,left,Column summation T,0.010499374071756998,0.010373083750406902,5901980.0,445105.0,176.75890985324946,2440.0
201,walmart,left,LMM T,0.007041263580322266,0.028490678469340006,10349543500.0,10294974750.0,176.75890985324946,2440.0
202,walmart,left,RMM T,0.0762667179107666,0.04574236075083415,4265310357600.0,1974910008350.0,176.75890985324946,2440.0
203,walmart,left,Linear Regression,1.9465719938278199,1.7609920342763266,2069908700.0,2064816735.0,176.75890985324946,2440.0
204,walmart,outer,Left multiply,0.005587291717529297,0.0004101435343424479,5058470.0,440425.0,219.9113197704747,2440.0
205,walmart,outer,Row summation,0.011076974868774413,0.010800361633300781,5058470.0,440425.0,219.9113197704747,2440.0
206,walmart,outer,Column summation,0.01630246639251709,0.01029376983642578,5058470.0,440425.0,219.9113197704747,2440.0
207,walmart,outer,Materialization,,0.08446033000946045,,,,
208,walmart,outer,LMM,0.020580418904622397,0.026789577802022298,10341108400.0,10341721920.0,219.9113197704747,2440.0
209,walmart,outer,RMM,0.004904913902282715,0.04203789234161377,12407310080.0,1134662235.0,219.9113197704747,2440.0
